"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Title","Group"
"0",3,"male",22,1,0,7.25,"NO","S","Mr",1
"1",1,"female",38,1,0,35.64165,"C","C","Mrs",2
"1",3,"female",26,0,0,7.925,"NO","S","Miss",1
"1",1,"female",35,1,0,26.55,"C","S","Mrs",2
"0",3,"male",35,0,0,8.05,"NO","S","Mr",1
"0",3,"male",21,0,0,8.4583,"NO","Q","Mr",1
"0",1,"male",54,0,0,25.93125,"E","S","Mr",2
"0",3,"male",2,3,1,4.215,"NO","S","Master",5
"1",3,"female",27,0,2,3.7111,"NO","S","Mrs",3
"1",2,"female",14,1,0,15.0354,"NO","C","Mrs",2
"1",3,"female",4,1,1,5.56666666666667,"X","S","Miss",3
"1",1,"female",58,0,0,26.55,"C","S","Miss",1
"0",3,"male",20,0,0,8.05,"NO","S","Mr",1
"0",3,"male",39,1,5,4.46785714285714,"NO","S","Mr",7
"0",3,"female",14,0,0,7.8542,"NO","S","Miss",1
"1",2,"female",55,0,0,16,"NO","S","Mrs",1
"0",3,"male",2,4,1,4.85416666666667,"NO","Q","Master",6
"1",2,"male",32.5,0,0,13,"NO","S","Mr",1
"0",3,"female",31,1,0,9,"NO","S","Mrs",2
"1",3,"female",22,0,0,7.225,"NO","C","Mrs",1
"0",2,"male",35,0,0,13,"NO","S","Mr",2
"1",2,"male",34,0,0,13,"D","S","Mr",1
"1",3,"female",15,0,0,8.0292,"NO","Q","Miss",1
"1",1,"male",28,0,0,35.5,"X","S","Mr",1
"0",3,"female",8,3,1,4.215,"NO","S","Miss",5
"1",3,"female",38,1,5,4.48392857142857,"NO","S","Mrs",7
"0",3,"male",40,0,0,7.225,"NO","C","Mr",1
"0",1,"male",19,3,2,43.8333333333333,"C","S","Mr",6
"1",3,"female",26,0,0,7.8792,"NO","Q","Miss",1
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",1,"male",40,0,0,27.7208,"NO","C","other",1
"1",1,"female",23,1,0,48.8402666666667,"B","C","Mrs",3
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"0",2,"male",66,0,0,10.5,"NO","S","Mr",1
"0",1,"male",28,1,0,41.0854,"NO","C","Mr",2
"0",1,"male",42,1,0,26,"NO","S","Mr",2
"1",3,"male",20,0,0,7.2292,"NO","C","Mr",1
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"0",3,"female",18,2,0,9,"NO","S","Miss",2
"1",3,"female",14,1,0,5.62085,"NO","C","Miss",2
"0",3,"female",40,1,0,9.475,"NO","S","Mrs",1
"0",2,"female",27,1,0,10.5,"NO","S","Mrs",2
"0",3,"male",28,0,0,7.8958,"NO","C","Mr",1
"1",2,"female",3,1,2,10.3948,"NO","C","Miss",4
"1",3,"female",19,0,0,7.8792,"NO","Q","Miss",1
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"0",3,"male",32,1,0,7.75,"NO","Q","Mr",2
"1",3,"female",22,0,0,7.75,"NO","Q","Miss",1
"0",3,"male",18,2,0,7.2264,"NO","C","Mr",3
"0",3,"female",18,1,0,8.9,"NO","S","Mrs",2
"0",3,"male",7,4,1,5.66964285714286,"NO","S","Master",7
"0",3,"male",21,0,0,7.8,"NO","S","Mr",1
"1",1,"female",49,1,0,25.5764,"D","C","Mrs",3
"1",2,"female",29,1,0,13,"NO","S","Mrs",2
"0",1,"male",65,0,1,30.9896,"B","C","Mr",2
"1",1,"male",45,0,0,35.5,"C","S","Mr",1
"1",2,"female",21,0,0,10.5,"NO","S","Miss",1
"0",3,"male",28.5,0,0,7.2292,"NO","C","Mr",1
"1",2,"female",5,1,2,6.9375,"NO","S","Miss",4
"0",3,"male",11,5,2,5.8625,"NO","S","Master",8
"0",3,"male",22,0,0,7.2292,"NO","C","Mr",1
"1",1,"female",38,0,0,40,"B","S","Miss",2
"0",1,"male",45,1,0,41.7375,"C","S","Mr",2
"0",3,"male",4,3,2,4.65,"NO","S","Master",6
"0",1,"male",40,0,0,27.7208,"NO","C","Mr",1
"1",3,"male",9,1,1,5.08193333333333,"NO","C","Master",3
"1",2,"female",29,0,0,10.5,"X","S","Mrs",1
"0",3,"male",19,0,0,8.1583,"NO","S","Mr",1
"1",3,"female",17,4,2,7.925,"NO","S","Miss",1
"0",3,"male",26,2,0,8.6625,"NO","S","Mr",1
"0",2,"male",32,0,0,10.5,"NO","S","Mr",1
"0",3,"female",16,5,2,5.8625,"NO","S","Miss",8
"0",2,"male",21,0,0,10.5,"NO","S","Mr",7
"0",3,"male",26,1,0,7.2271,"NO","C","Mr",2
"1",3,"male",32,0,0,7.061975,"NO","S","Mr",8
"0",3,"male",25,0,0,7.65,"X","S","Mr",1
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"1",2,"male",0.83,0,2,9.66666666666667,"NO","S","Master",3
"1",3,"female",30,0,0,6.2375,"NO","S","Miss",2
"0",3,"male",22,0,0,9,"NO","S","Mr",1
"1",3,"male",29,0,0,9.5,"NO","S","Mr",1
"1",3,"female",22,0,0,7.7875,"NO","Q","Miss",1
"0",1,"male",28,0,0,23.55,"NO","S","Mr",2
"1",2,"female",17,0,0,10.5,"NO","S","Miss",1
"1",3,"female",33,3,0,7.925,"NO","S","Mrs",2
"0",3,"male",16,1,3,6.875,"NO","S","Mr",5
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"1",1,"female",23,3,2,43.8333333333333,"C","S","Miss",6
"0",3,"male",24,0,0,8.05,"NO","S","Mr",1
"0",3,"male",29,0,0,8.05,"NO","S","Mr",1
"0",3,"male",20,0,0,7.8542,"NO","S","Mr",1
"0",1,"male",46,1,0,30.5875,"E","S","Mr",2
"0",3,"male",26,1,2,5.14375,"NO","S","Mr",4
"0",3,"male",59,0,0,7.25,"NO","S","Mr",1
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"0",1,"male",71,0,0,34.6542,"X","C","Mr",1
"1",1,"male",23,0,1,31.67915,"D","C","Mr",2
"1",2,"female",34,0,1,11.5,"NO","S","Mrs",2
"0",2,"male",34,1,0,13,"NO","S","Mr",2
"0",3,"female",28,0,0,7.8958,"NO","S","Miss",1
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"0",1,"male",21,0,1,38.64375,"D","S","Mr",2
"0",3,"male",33,0,0,8.6542,"NO","S","Mr",1
"0",3,"male",37,2,0,7.925,"NO","S","Mr",1
"0",3,"male",28,0,0,7.8958,"NO","S","Mr",1
"1",3,"female",21,0,0,7.65,"NO","S","Miss",1
"1",3,"male",26,0,0,7.775,"NO","S","Mr",1
"0",3,"male",38,0,0,7.8958,"NO","S","Mr",1
"1",3,"female",24,1,0,8.05,"NO","Q","Miss",3
"0",1,"male",47,0,0,26,"C","S","Mr",2
"0",3,"female",14.5,1,0,7.2271,"NO","C","Miss",2
"0",3,"male",22,0,0,8.05,"NO","S","Mr",1
"0",3,"female",20,1,0,9.825,"NO","S","Miss",1
"0",3,"female",17,0,0,7.22915,"NO","C","Miss",2
"0",3,"male",21,0,0,7.925,"NO","S","Mr",1
"0",3,"male",70.5,0,0,7.75,"NO","Q","Mr",1
"0",2,"male",29,1,0,10.5,"NO","S","Mr",2
"0",1,"male",24,0,1,82.5069333333333,"B","C","Mr",3
"0",3,"female",2,4,2,4.46785714285714,"NO","S","Miss",7
"0",2,"male",21,2,0,10.5,"NO","S","Mr",7
"0",3,"male",21,0,0,8.05,"NO","S","Mr",1
"0",2,"male",32.5,1,0,15.0354,"NO","C","Mr",2
"1",2,"female",32.5,0,0,13,"E","S","Miss",1
"0",1,"male",54,0,1,38.64375,"D","S","Mr",2
"1",3,"male",12,1,0,5.62085,"NO","C","Master",2
"0",3,"male",65,0,0,7.75,"NO","Q","Mr",1
"1",3,"male",24,0,0,7.1417,"NO","S","Mr",1
"1",3,"female",31,1,1,7.45276666666667,"X","C","Miss",3
"0",3,"male",45,0,0,6.975,"NO","S","Mr",1
"0",3,"male",33,0,0,7.8958,"NO","C","Mr",1
"0",3,"male",20,0,0,7.05,"NO","S","Mr",1
"0",3,"female",47,1,0,7.25,"NO","S","Mrs",2
