CLASS,AGE,SEX,SURVIVED
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Sobreviu
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
1a,Adult,Home,Mor
